plnt_folio,plnt_nom,tra_oper,tra_kwh,tra_peso,cau_trat,tra_reut,tr_po_pl,tra_cost,raz_op_t,tra_pindo2,gasto_tra_pindo2,tra_pindo1,gasto_tra_pindo1,tra_rareo2,gasto_tra_rareo2,tra_rareo1,gasto_tra_rareo1,tra_ragro2,gasto_tra_ragro2,tra_ragro1,gasto_tra_ragro1,tra_inceo2,gasto_tra_inceo2,tra_inceo1,gasto_tra_inceo1,tra_rotro2,gasto_tra_rotro2,tra_rotro1,gasto_tra_rotro1,tra_intero2,gasto_tra_intero2,tra_intero1,gasto_tra_intero1,tra_oper_a,tra_reut_a,tr_po_pl_a,raz_op_t_a,X,POBTOT,P_60YMAS,pob_urb,categoria_poblacion,Estado,Municipio,id_estado,id_municipio,clasif,idh,gdh,tmi,ipca,isal,ieduc,iing
1002,VILLA JUAREZ,1,216860,556001,14.71,2,12,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1002,PLANTA REAL DE ASIENTOS,1,420536,939911,NA,2,12,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1002,JILOTEPEC,1,5231,21726,0.49,2,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1003,PLANTA CERRO BLANCO,1,NA,NA,NA,3,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Lodos activados,No Aplica,3,58250,7829,28367,Urbanos,Aguascalientes,Calvillo,1,3,1032,0.664,MEDIO,17.6,1506.4,0.865,0.5,0.677
1003,PLANTA EL SALITRE,1,NA,NA,NA,3,23,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Humedal,No Aplica,3,58250,7829,28367,Urbanos,Aguascalientes,Calvillo,1,3,1032,0.664,MEDIO,17.6,1506.4,0.865,0.5,0.677
1003,PLANTA CALVILLO,1,NA,NA,NA,3,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Lodos activados,No Aplica,3,58250,7829,28367,Urbanos,Aguascalientes,Calvillo,1,3,1032,0.664,MEDIO,17.6,1506.4,0.865,0.5,0.677
1003,PUERTA DE FRAGUA,1,29,90936,NA,3,21,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Filtro anaerobio,No Aplica,3,58250,7829,28367,Urbanos,Aguascalientes,Calvillo,1,3,1032,0.664,MEDIO,17.6,1506.4,0.865,0.5,0.677
1004,PLANTA COSIO SUR,1,50969,135232,3.53,1,12,140000,0,NA,NA,NA,NA,NA,NA,1,10,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Lodos activados,No Aplica,4,17000,1613,8477,Semiurbanos,Aguascalientes,Cosio,1,4,660,0.699,MEDIO,18.3,1835.8,0.859,0.562,0.707
1004,COSIO NORTE,1,141813,335063,NA,1,12,NA,0,NA,NA,NA,NA,NA,NA,1,10,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Lodos activados,No Aplica,4,17000,1613,8477,Semiurbanos,Aguascalientes,Cosio,1,4,660,0.699,MEDIO,18.3,1835.8,0.859,0.562,0.707
1005,P.T.A.R LOMITA DE PASO BLANCO,1,NA,NA,NA,2,12,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,LA PRIMAVERA,1,NA,NA,NA,3,18,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Fosa septica,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,TRES ARROYOS,1,NA,NA,NA,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Sedimentacion primaria,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,JESUS MARIA,1,NA,NA,NA,2,12,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. TAPIAS VIEJAS,1,NA,NA,NA,2,22,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,RAFA/ UASB,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. ALCAZAR,1,NA,NA,NA,2,12,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R PASEOS DE AGUASCALIENTES,1,NA,NA,NA,2,12,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,PTAR LAS JAULAS,1,NA,NA,NA,3,18,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Fosa septica,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R ARBOLEDAS PASO BLANCO,2,NA,NA,NA,0,0,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No Aplica,No Aplica,Otro,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,PASEOS DE LAS HACIENDAS,1,NA,NA,NA,3,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Lodos activados,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,CAMPESTRE RUSCELLO,1,NA,NA,NA,2,2,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Sedimentacion primaria,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,CANADA DEL RODEO,1,NA,NA,NA,2,26,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Laguna de maduracion,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,LA CARTUJA,1,NA,NA,NA,2,12,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. BELMONDO,2,NA,NA,NA,0,0,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No Aplica,No Aplica,Otro,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. PARQUE INDUSTRIAL DEL VALLE DE AGUASCALIENTES,1,NA,NA,NA,2,12,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. TROJES DE SAN CRISTOBAL,1,NA,NA,NA,2,12,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1006,PLANTA PABELLON DE ARTEAGA,1,NA,NA,NA,1,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Lodos activados,No Aplica,6,47646,4481,35351,Semiurbanos,Aguascalientes,Pabellon de Arteaga,1,6,285,0.744,ALTO,11.6,2230.6,0.916,0.61,0.736
1006,PLANTA EMILIANO ZAPATA,1,NA,NA,NA,1,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Lodos activados,No Aplica,6,47646,4481,35351,Semiurbanos,Aguascalientes,Pabellon de Arteaga,1,6,285,0.744,ALTO,11.6,2230.6,0.916,0.61,0.736
1007,PLANTA PABELLON DE HIDALGO,1,NA,NA,NA,1,12,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Lodos activados,No Aplica,7,57369,5264,42562,Urbanos,Aguascalientes,Rincon de Romos,1,7,361,0.733,ALTO,13.7,2400.9,0.898,0.588,0.747
1007,SAN JUAN DE LA NATURA,1,NA,NA,NA,1,12,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Lodos activados,No Aplica,7,57369,5264,42562,Urbanos,Aguascalientes,Rincon de Romos,1,7,361,0.733,ALTO,13.7,2400.9,0.898,0.588,0.747
1007,PLANTA SAN JACINTO,1,NA,NA,NA,1,33,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Otro,No Aplica,7,57369,5264,42562,Urbanos,Aguascalientes,Rincon de Romos,1,7,361,0.733,ALTO,13.7,2400.9,0.898,0.588,0.747
1007,RINCON DE ROMOS,1,NA,NA,NA,1,12,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Lodos activados,No Aplica,7,57369,5264,42562,Urbanos,Aguascalientes,Rincon de Romos,1,7,361,0.733,ALTO,13.7,2400.9,0.898,0.588,0.747
1008,PLANTA DE TRATAMIENTO SAN ANTONIO DE LOS RIOS-PAREDES,1,NA,NA,NA,1,19,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Tanque Imhoff,No Aplica,8,9552,956,5607,Semiurbanos,Aguascalientes,San Jose de Gracia,1,8,576,0.708,ALTO,14.3,1701.4,0.893,0.571,0.695
1008,SAN JOSE DE GRACIA,1,NA,NA,NA,1,19,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Tanque Imhoff,No Aplica,8,9552,956,5607,Semiurbanos,Aguascalientes,San Jose de Gracia,1,8,576,0.708,ALTO,14.3,1701.4,0.893,0.571,0.695
1010,PALO ALTO,1,NA,NA,NA,2,33,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Otro,No Aplica,10,20853,1988,6307,Semiurbanos,Aguascalientes,El Llano,1,10,1183,0.652,MEDIO,20.3,1390.8,0.842,0.496,0.665
1010,LA LOMA DEL REFUGIO,1,NA,NA,NA,2,33,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Otro,No Aplica,10,20853,1988,6307,Semiurbanos,Aguascalientes,El Llano,1,10,1183,0.652,MEDIO,20.3,1390.8,0.842,0.496,0.665
2001,PLANTA NOROESTE,1,474168,842951.5,37,3,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Sedimentacion secundaria,No Aplica,12,443807,53463,399691,Metropolitanos,Baja California,Ensenada,2,1,211,0.755,ALTO,17.7,3349,0.864,0.625,0.798
2001,EL SAUZAL,1,1949410,3450270.31,45,2,12,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,12,443807,53463,399691,Metropolitanos,Baja California,Ensenada,2,1,211,0.755,ALTO,17.7,3349,0.864,0.625,0.798
2001,FRANCISCO ZARCO,1,3,3,6,2,4,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Sedimentacion secundaria,No Aplica,12,443807,53463,399691,Metropolitanos,Baja California,Ensenada,2,1,211,0.755,ALTO,17.7,3349,0.864,0.625,0.798
2001,EL NARANJO,1,6429815,11106301.92,500,2,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Sedimentacion secundaria,No Aplica,12,443807,53463,399691,Metropolitanos,Baja California,Ensenada,2,1,211,0.755,ALTO,17.7,3349,0.864,0.625,0.798
2001,PLANTA MANEADERO,1,941893,1571227.43,16,1,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Lodos activados,No Aplica,12,443807,53463,399691,Metropolitanos,Baja California,Ensenada,2,1,211,0.755,ALTO,17.7,3349,0.864,0.625,0.798
2001,EL GALLO,1,2375478,4191636.25,120,2,1,NA,0,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Pretratamiento,No Aplica,12,443807,53463,399691,Metropolitanos,Baja California,Ensenada,2,1,211,0.755,ALTO,17.7,3349,0.864,0.625,0.798
2002,ESTACION COAHUILA,1,NA,NA,7.55,3,13,649262,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Laguna aireada,No Aplica,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,OAXACA,1,NA,NA,NA,3,12,497841,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Lodos activados,No Aplica,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,PLANTA DE TRATAMIENTO ZARAGOZA,1,NA,NA,866,2,13,55651152,0,1,395.03,NA,NA,1,5.82,NA,NA,1,11.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Laguna aireada,No Aplica,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,CIUDAD MORELOS,1,NA,NA,22.16,3,13,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Laguna aireada,No Aplica,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,PLANTA DE TRATAMIENTO CETYS,1,NA,NA,2.55,1,12,510579,0,NA,NA,NA,NA,NA,NA,1,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Lodos activados,No Aplica,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,GUADALUPE VICTORIA KM 43,1,NA,NA,37.92,3,13,2872274,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Laguna aireada,No Aplica,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,LOS ALGODONES,1,NA,NA,NA,3,13,1499764,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Laguna aireada,No Aplica,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,FOSA SEPTICA TECNIFICADA,1,381,1643,1.2,3,18,54190,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,No se reutiliza,Fosa septica,No Aplica,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,PLANTA DE TRATAMIENTO LAS ARENITAS,1,NA,NA,NA,2,13,57045009,0,1,0.702,NA,NA,NA,NA,NA,NA,1,214.76,NA,NA,NA,NA,NA,NA,1,772.6,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Laguna aireada,No Aplica,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
