plnt_folio,plnt_nom,tra_oper,tra_kwh,tra_peso,tra_regi,cau_trat,vol_trat,tra_reut,tra_pind,tra_rare,tra_ragr,tra_ince,tra_rotr,tra_regi_a,tra_oper_a,X,POBTOT,P_60YMAS,pob_urb,categoria_poblacion,Estado,Municipio,id_estado,id_municipio,clasif,idh,gdh,tmi,ipca,isal,ieduc,iing
1001,"LAS VIOLETAS
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"LOS CANOS
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,JALTOMATE,1,174850,272476,2,3.76,118834,115648,0,0,1,0,0,Estatal,Si,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,POCITOS,1,2327594,3095389,6,79.58,2520689,62584,0,1,0,0,0,Estatal,Si,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,SAN FRANCISCO,1,2283286,3334600,0,100.26,3175238,52386,0,1,0,0,0,No Aplica,Si,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"VISTA ALEGRE
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"CIUDAD GOTICA
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"VISTAS DE ORIENTE
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"SANTA CRUZ DE LA PRESA
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"LOS DURON
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,EL CEDAZO,1,635186,826711,2,87.4,2762944,0,0,1,0,0,0,Estatal,Si,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"LOS ARELLANO
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"SANTA MONICA
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"VILLASUR
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"EL DURAZNILLO
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"QUERENCIA
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"LOS CUERVOS
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,FERRONALES,1,673842,340551,6,19.42,613932,251293,0,1,0,0,0,Estatal,Si,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"H. GIGANTE DE ARELLANOS
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"MIRADORES
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1002,VILLA JUAREZ,1,211351,692467,6,13.67,432267,264643,0,0,1,0,0,Estatal,Si,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1002,JILOTEPEC,1,9825,25056,6,0.6925,21903,5372,0,0,1,0,0,Estatal,Si,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1002,CIENEGA GRANDE,1,54166,97026,6,3.56,112846,112846,0,0,1,0,0,Estatal,Si,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1002,PLANTA REAL DE ASIENTOS,1,361620,611529,6,8.99,283407,124160,0,1,0,0,0,Estatal,Si,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1003,PLANTA CERRO BLANCO,1,12519,38459,6,0.086,2734,2340,0,0,1,0,0,Estatal,Si,3,58250,7829,28367,Urbanos,Aguascalientes,Calvillo,1,3,1032,0.664,MEDIO,17.6,1506.4,0.865,0.5,0.677
1003,PLANTA EL SALITRE,1,5374,23668,2,3.048,96194,0,0,0,0,0,1,Estatal,Si,3,58250,7829,28367,Urbanos,Aguascalientes,Calvillo,1,3,1032,0.664,MEDIO,17.6,1506.4,0.865,0.5,0.677
1003,PLANTA CALVILLO,1,1272852,1530286,0,56.345,1782991,99681,0,1,1,0,0,No Aplica,Si,3,58250,7829,28367,Urbanos,Aguascalientes,Calvillo,1,3,1032,0.664,MEDIO,17.6,1506.4,0.865,0.5,0.677
1004,COSIO NORTE,1,44073,75586,2,18,850,100,0,1,0,1,0,Estatal,Si,4,17000,1613,8477,Semiurbanos,Aguascalientes,Cosio,1,4,660,0.699,MEDIO,18.3,1835.8,0.859,0.562,0.707
1004,PLANTA COSIO SUR,1,135691,230457,2,890,0,0,0,1,0,0,0,Estatal,Si,4,17000,1613,8477,Semiurbanos,Aguascalientes,Cosio,1,4,660,0.699,MEDIO,18.3,1835.8,0.859,0.562,0.707
1005,P.T.A.R. TROJES SAN CRISTOBAL,1,0,0,9,0,0,0,0,2,0,0,0,Privado,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. PARQUE INDUSTRIAL DEL VALLE DE AGUASCALIENTES (PIVA),1,1003250,1499160,6,17.58,555684,36095,0,1,0,0,0,Estatal,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,"P.T.A.R. CAMPESTRE RUSCELLO
",1,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. LA CARTUJA,1,0,0,9,0,0,0,0,0,0,0,0,Privado,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. ALCAZAR,1,0,0,4,5,92219.9,92220,0,1,0,0,0,Municipal,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. PASEOS DE LAS HACIENDAS,1,0,0,9,0,0,0,0,0,0,0,0,Privado,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. JESU S MARIA,1,1031517,1403269,6,75,6480,2204,0,1,0,0,0,Estatal,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,"P.T.A.R. TRES ARROYOS
",1,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,"CANADA DEL RODEO
",1,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. PASEOS DE AGUASCALIENTES,1,0,0,0,3,94608,94608,0,1,0,0,0,No Aplica,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. TAPIAS VIEJAS,1,9300,27546,5,0.6,19270,0,0,0,1,0,0,Intermunicipal,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. LOMITA DE PASO BLANCO,1,1003250,1499160,6,26.98,852673,3507,0,1,0,0,0,Estatal,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,"P.T.A.R. PASO DE ARGENTA
",1,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. ARBOLEDAS PASO BLANCO,2,0,0,4,0,0,0,0,0,0,0,0,Municipal,No,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,"LA PRIMAVERA
",1,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,"EJIDO LA GUAYANA (RANCHO SECO)                                                                                
",1,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,"P.T.A.R. BELMONDO
",1,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1006,PLANTA EMILIANO ZAPATA,1,0,400968,6,8.52,269277,28386,0,0,1,0,0,Estatal,Si,6,47646,4481,35351,Semiurbanos,Aguascalientes,Pabellon de Arteaga,1,6,285,0.744,ALTO,11.6,2230.6,0.916,0.61,0.736
1006,PLANTA PABELLON DE ARTEAGA,1,1195957,1709739,6,93.9425,2969583,2965583,0,1,1,0,1,Estatal,Si,6,47646,4481,35351,Semiurbanos,Aguascalientes,Pabellon de Arteaga,1,6,285,0.744,ALTO,11.6,2230.6,0.916,0.61,0.736
1007,RINCON DE ROMOS,1,1074662,1262442,6,0,2861120,2861120,0,1,1,0,0,Estatal,Si,7,57369,5264,42562,Urbanos,Aguascalientes,Rincon de Romos,1,7,361,0.733,ALTO,13.7,2400.9,0.898,0.588,0.747
1007,PLANTA SAN JUAN DE LA NATURA,1,85328,54208,6,0,55883,48557,0,1,1,0,0,Estatal,Si,7,57369,5264,42562,Urbanos,Aguascalientes,Rincon de Romos,1,7,361,0.733,ALTO,13.7,2400.9,0.898,0.588,0.747
1007,PLANTA PABELLON DE HIDALGO,1,117164,20500,6,0,291842,291842,0,2,1,0,0,Estatal,Si,7,57369,5264,42562,Urbanos,Aguascalientes,Rincon de Romos,1,7,361,0.733,ALTO,13.7,2400.9,0.898,0.588,0.747
1007,PLANTA SAN JACINTO,1,107187,172873,6,0,128097,19306,0,0,1,0,0,Estatal,Si,7,57369,5264,42562,Urbanos,Aguascalientes,Rincon de Romos,1,7,361,0.733,ALTO,13.7,2400.9,0.898,0.588,0.747
1008,PLANTA DE TRATAMIENTO SAN ANTONIO DE LOS RIOS-PAREDES,1,71529,124473,2,4.41,139510,139510,0,2,3,0,0,Estatal,Si,8,9552,956,5607,Semiurbanos,Aguascalientes,San Jose de Gracia,1,8,576,0.708,ALTO,14.3,1701.4,0.893,0.571,0.695
1008,SAN JOSE DE GRACIA,1,211135,277806,2,13.06,413032,413032,0,2,0,0,0,Estatal,Si,8,9552,956,5607,Semiurbanos,Aguascalientes,San Jose de Gracia,1,8,576,0.708,ALTO,14.3,1701.4,0.893,0.571,0.695
1009,SITIO DE TRATAMIENTO DE AGUAS RESIDUALES DE TEPEZALA,1,158105,271200,2,8589,271609,271609,0,2,1,0,0,Estatal,Si,9,22485,2158,9114,Semiurbanos,Aguascalientes,Tepezala,1,9,872,0.678,MEDIO,18.7,1471,0.855,0.541,0.673
1010,PALO ALTO,1,136400,225686,6,12.5,395240,168148,0,0,1,0,0,Estatal,Si,10,20853,1988,6307,Semiurbanos,Aguascalientes,El Llano,1,10,1183,0.652,MEDIO,20.3,1390.8,0.842,0.496,0.665
1010,LOMA DEL REFUGIO,1,10942,37842,6,0.68,21521,5558,0,0,1,0,0,Estatal,Si,10,20853,1988,6307,Semiurbanos,Aguascalientes,El Llano,1,10,1183,0.652,MEDIO,20.3,1390.8,0.842,0.496,0.665
1011,PLANTA DE TRATAMIENTO FRACCIONAMIENTO URBI VILLAS DEL VERGEL,1,10865,18478,4,10,0,0,0,2,0,0,0,Municipal,Si,11,61997,3588,46196,Urbanos,Aguascalientes,San Francisco de los Romo,1,11,367,0.733,ALTO,13,2482.8,0.904,0.578,0.752
1011,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES LA RIBERA 2,2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,11,61997,3588,46196,Urbanos,Aguascalientes,San Francisco de los Romo,1,11,367,0.733,ALTO,13,2482.8,0.904,0.578,0.752
1011,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE LA RIBERA,1,4324,11281,4,10,0,0,0,2,0,0,0,Municipal,Si,11,61997,3588,46196,Urbanos,Aguascalientes,San Francisco de los Romo,1,11,367,0.733,ALTO,13,2482.8,0.904,0.578,0.752
1011,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DEL CARDONAL,1,3299,7522,4,2,0,0,0,2,0,0,0,Municipal,Si,11,61997,3588,46196,Urbanos,Aguascalientes,San Francisco de los Romo,1,11,367,0.733,ALTO,13,2482.8,0.904,0.578,0.752
1011,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES EX VINEDOS GUADALUPE,2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,11,61997,3588,46196,Urbanos,Aguascalientes,San Francisco de los Romo,1,11,367,0.733,ALTO,13,2482.8,0.904,0.578,0.752
2001,EL GALLO,1,182732.7,224060.99,6,50,160,30,0,1,0,0,0,Estatal,Si,12,443807,53463,399691,Metropolitanos,Baja California,Ensenada,2,1,211,0.755,ALTO,17.7,3349,0.864,0.625,0.798
2001,EL NARANJO,1,554277.5,693794.71,6,500,32054,7000,0,1,1,0,0,Estatal,Si,12,443807,53463,399691,Metropolitanos,Baja California,Ensenada,2,1,211,0.755,ALTO,17.7,3349,0.864,0.625,0.798
2001,PLANTA NORESTE,1,50894,65681.41,6,56,1900,0,0,0,0,0,0,Estatal,Si,12,443807,53463,399691,Metropolitanos,Baja California,Ensenada,2,1,211,0.755,ALTO,17.7,3349,0.864,0.625,0.798
2001,EL SAUZAL,1,148380,188047.92,6,120,27,0,0,1,0,0,0,Estatal,Si,12,443807,53463,399691,Metropolitanos,Baja California,Ensenada,2,1,211,0.755,ALTO,17.7,3349,0.864,0.625,0.798
2001,PLANTA MANEADERO,1,55097,80561.98,6,30,520,520,0,0,1,0,0,Estatal,Si,12,443807,53463,399691,Metropolitanos,Baja California,Ensenada,2,1,211,0.755,ALTO,17.7,3349,0.864,0.625,0.798
2002,OAXACA,1,8637,13154,6,0,277,0,0,0,0,0,0,Estatal,Si,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,PLANTA DE TRATAMIENTO LAS ARENITAS,1,217612,412121,6,0,28707225,0,0,1,1,0,1,Estatal,Si,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,PLANTA DE TRATAMIENTO DE AGUA RESIDUAL SAN FELIPE,1,43913,85224,6,0,3113,0,0,0,0,0,0,Estatal,Si,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,ESTACION COAHUILA,1,13207,25194,6,0,950,0,0,0,0,0,0,Estatal,Si,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,GUADALUPE VICTORIA KM 43,1,39482,74002,6,0,3070,0,0,0,0,0,0,Estatal,Si,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,PLANTA DE TRATAMIENTO ZARAGOZA,1,617065,1190702,6,0,36054358,0,1,1,1,0,0,Estatal,Si,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,ALFREDO V. BONFIL,1,3544,7323,6,0,59,0,0,0,0,0,0,Estatal,Si,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,LOS ALGODONES,1,11982,74002,6,0,1362,0,0,0,0,0,0,Estatal,Si,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,LA PUERTA,1,13143,19680,6,0,277,0,0,0,0,0,0,Estatal,Si,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2002,CIUDAD MORELOS,1,25347,49162,6,0,1591,0,0,0,0,0,0,Estatal,Si,13,1049792,122934,966003,Metropolitanos,Baja California,Mexicali,2,2,79,0.791,ALTO,11.5,3463.9,0.917,0.673,0.803
2003,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE CERESO DEL HONGO,1,0,0,6,11.95,1032,0,0,0,0,0,0,Estatal,Si,14,108440,11535,93564,Urbanos,Baja California,Tecate,2,3,152,0.767,ALTO,15.5,3354.6,0.883,0.641,0.798
2003,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE TECATE,1,2270205,2940997,6,154.1,13314.24,0,0,1,0,0,1,Estatal,Si,14,108440,11535,93564,Urbanos,Baja California,Tecate,2,3,152,0.767,ALTO,15.5,3354.6,0.883,0.641,0.798
2004,LA MORITA,1,4311790,4646246.58,6,130,18226,0,1,1,0,0,0,Estatal,Si,15,1922523,169282,1893361,Metropolitanos,Baja California,Tijuana,2,4,90,0.786,ALTO,10.3,3577.1,0.927,0.647,0.808
2004,HACIENDA LAS FLORES,2,0,0,NA,0,0,0,0,0,0,0,0,NA,No,15,1922523,169282,1893361,Metropolitanos,Baja California,Tijuana,2,4,90,0.786,ALTO,10.3,3577.1,0.927,0.647,0.808
2004,JOSE ARTURO HERRERA SOLIS,1,6694170,7134907.56,6,223,19267,0,1,1,0,0,0,Estatal,Si,15,1922523,169282,1893361,Metropolitanos,Baja California,Tijuana,2,4,90,0.786,ALTO,10.3,3577.1,0.927,0.647,0.808
2004,PLANTA INTERNACIONAL DE TRATAMIENTO DE AGUAS RESIDUALES (PITAR),1,4201530,3571300.5,7,1064,93879,0,0,1,0,0,0,Otro publico,Si,15,1922523,169282,1893361,Metropolitanos,Baja California,Tijuana,2,4,90,0.786,ALTO,10.3,3577.1,0.927,0.647,0.808
2004,URBI VILLA DEL PRADO,1,1118840,1209960.72,6,15,1283,0,1,1,0,0,0,Estatal,Si,15,1922523,169282,1893361,Metropolitanos,Baja California,Tijuana,2,4,90,0.786,ALTO,10.3,3577.1,0.927,0.647,0.808
2004,LOS VALLES,1,80655,139059.34,6,9,797,0,0,0,0,0,0,Estatal,Si,15,1922523,169282,1893361,Metropolitanos,Baja California,Tijuana,2,4,90,0.786,ALTO,10.3,3577.1,0.927,0.647,0.808
2004,VALLE DE SAN PEDRO,1,706800,1332388.75,6,6,194282,0,0,0,0,0,0,Estatal,Si,15,1922523,169282,1893361,Metropolitanos,Baja California,Tijuana,2,4,90,0.786,ALTO,10.3,3577.1,0.927,0.647,0.808
2004,CAR,2,0,0,NA,0,0,0,0,0,0,0,0,NA,No,15,1922523,169282,1893361,Metropolitanos,Baja California,Tijuana,2,4,90,0.786,ALTO,10.3,3577.1,0.927,0.647,0.808
