plnt_folio,plnt_nom,tra_oper,tra_kwh,tra_peso,tra_regi,cau_trat,vol_trat,tra_reut,tra_pind,tra_rare,tra_ragr,tra_ince,tra_rotr,tr_po_pl,cost_ope,pre_soci,no_agua,otra_raz,rob_maq,fal_mant,pro_dis,da_dena,en_const,ob_meam,fin_viut,no_concl,pro_enre,tra_regi_a,tra_oper_a,tra_pind_a,tra_rare_a,tra_ragr_a,tra_ince_a,tra_rotr_a,tr_po_pl_a,cost_ope_a,pre_soci_a,no_agua_a,otra_raz_a,rob_maq_a,fal_mant_a,pro_dis_a,da_dena_a,en_const_a,ob_meam_a,fin_viut_a,no_concl_a,pro_enre_a,raz_op_t_a,X,POBTOT,P_60YMAS,pob_urb,categoria_poblacion,Estado,Municipio,id_estado,id_municipio,clasif,idh,gdh,tmi,ipca,isal,ieduc,iing
1001,VILLAS DE LAS NORIAS,1,63149,194032.91,4,1.87,43644,1934,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipal,Si,No Aplica,Riego de areas verdes,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,VILLA LAS PALMAS,1,65942,207775.66,4,2.1,48978,194,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipal,Si,No Aplica,Riego de areas verdes,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,POCITOS,1,2295300,5867850,2,106.67,9216,3240,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,Procesos industriales,No Aplica,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,PUNTA DEL CIELO,1,13611,53545.4,4,10.42,242997,2310,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipal,Si,No Aplica,Riego de areas verdes,No Aplica,No Aplica,No Aplica,Biologico,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,CALVILLITO,1,85831,193044.75,4,1.92,44726.9,44726.9,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipal,Si,No Aplica,No Aplica,Riego agricola,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,NORIAS DE OJOCALIENTE,1,181085,448889,0,4.54,392,NA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,Procesos industriales,No Aplica,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,CIUDAD GOTICA,1,32253,98417.83,4,2.04,47577,22231,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipal,Si,No Aplica,Riego de areas verdes,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,EL REFUGIO DE PENUELAS,1,31873,90736,2,1.3,112,NA,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,Procesos industriales,No Aplica,No Aplica,No Aplica,No Aplica,Discos biologicos/biodiscos,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,VILLA SUR,1,274945,680519.07,4,14.17,330535,48493,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipal,Si,No Aplica,Riego de areas verdes,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,EL CEDAZO,1,450231,1076123,2,22.47,1941,NA,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,No Aplica,Riego de areas verdes,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,QUERENCIA (POCITOS),1,211638,429958.9,4,7.51,175091.71,23687,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipal,Si,No Aplica,Riego de areas verdes,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,FERRONALES,1,298230,799411,2,14.91,1288,NA,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,No Aplica,Riego de areas verdes,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,MIRADORES,1,240283,914977.63,4,13.39,312390,312390,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipal,Si,No Aplica,Riego de areas verdes,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,PARQUE MEXICO,1,625161,1260642.13,4,27.64,2387.733777,2387.73377,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipal,Si,No Aplica,Riego de areas verdes,No Aplica,No Aplica,No Aplica,Biologico,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,PRESA EL NIAGARA,1,0,0,0,1.8,0.6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Fosa septica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1002,COLONIA SAN PEDRO,1,0,0,0,0.5,0.7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Fosa septica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1002,PILOTOS,1,0,0,0,2.5,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Humedales,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1002,LAS NEGRITAS,1,0,0,0,1.2,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Lagunas de estabilizacion,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1002,JILOTEPEC,1,5231,21726,2,0.49,NA,NA,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,No Aplica,No Aplica,Riego agricola,No Aplica,No Aplica,Anaerobio,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1002,VILLA JUAREZ,1,216860,556001,2,14.71,1271,NA,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,No Aplica,No Aplica,Riego agricola,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1002,REAL DE ASIENTOS,1,420536,939911,2,NA,NA,NA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,Procesos industriales,No Aplica,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1002,CIENEGA GRANDE,1,35730,76290,2,3.14,271,130,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,No Aplica,No Aplica,Riego agricola,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1002,GUADALUPE DE ATLAS,1,0,0,0,4,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Lagunas de estabilizacion,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1002,JARILLAS,1,0,0,0,1.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Lagunas de estabilizacion,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
1003,EL RODEO,1,0,0,0,0.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Lagunas de estabilizacion,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,3,58250,7829,28367,Urbanos,Aguascalientes,Calvillo,1,3,1032,0.664,MEDIO,17.6,1506.4,0.865,0.5,0.677
1003,PLANTA EL SALITRE,1,4066,18667,2,1.82,157,NA,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Anaerobio,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,3,58250,7829,28367,Urbanos,Aguascalientes,Calvillo,1,3,1032,0.664,MEDIO,17.6,1506.4,0.865,0.5,0.677
1003,PLANTA CALVILLO,1,1295180,3338424,2,72.94,6302,NA,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,No Aplica,No Aplica,Riego agricola,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,3,58250,7829,28367,Urbanos,Aguascalientes,Calvillo,1,3,1032,0.664,MEDIO,17.6,1506.4,0.865,0.5,0.677
1003,PLANTA CERRO BLANCO,1,12327,40218,2,0.35,NA,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,3,58250,7829,28367,Urbanos,Aguascalientes,Calvillo,1,3,1032,0.664,MEDIO,17.6,1506.4,0.865,0.5,0.677
1003,PUERTA DE FRAGUA,1,NA,NA,4,1,86400,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipal,Si,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Aerobio,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,3,58250,7829,28367,Urbanos,Aguascalientes,Calvillo,1,3,1032,0.664,MEDIO,17.6,1506.4,0.865,0.5,0.677
1003,CRUCERO LAS PILAS,1,0,0,0,1.7,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Lagunas de estabilizacion,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,3,58250,7829,28367,Urbanos,Aguascalientes,Calvillo,1,3,1032,0.664,MEDIO,17.6,1506.4,0.865,0.5,0.677
1004,LA PUNTA,1,0,0,0,4.4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Aplica,Si,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Lagunas de estabilizacion,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,4,17000,1613,8477,Semiurbanos,Aguascalientes,Cosio,1,4,660,0.699,MEDIO,18.3,1835.8,0.859,0.562,0.707
1004,COSIO NORTE,1,141813,335063,2,13.5,1136,NA,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,No Aplica,No Aplica,Riego agricola,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,4,17000,1613,8477,Semiurbanos,Aguascalientes,Cosio,1,4,660,0.699,MEDIO,18.3,1835.8,0.859,0.562,0.707
1004,PLANTA COSIO SUR,1,50969,135232,2,3.53,305,NA,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,No Aplica,No Aplica,Riego agricola,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,4,17000,1613,8477,Semiurbanos,Aguascalientes,Cosio,1,4,660,0.699,MEDIO,18.3,1835.8,0.859,0.562,0.707
1005,P.T.A.R. JESUS MARIA,1,935969,2449975,6,52.34,4522,NA,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,Procesos industriales,Riego de areas verdes,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. LA PRIMAVERA,1,NA,NA,4,NA,NA,NA,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipal,Si,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Fosa septica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. CANADA DEL RODEO,1,NA,NA,4,NA,NA,NA,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipal,Si,Procesos industriales,Riego de areas verdes,No Aplica,No Aplica,No Aplica,Lagunas de estabilizacion,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
1005,P.T.A.R. LOMITA  DE PASEO BLANCO,1,697839,1879796,6,11.24,791,NA,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Estatal,Si,Procesos industriales,Riego de areas verdes,No Aplica,No Aplica,No Aplica,Lodos activados,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,5,129929,9815,97524,Urbanos,Aguascalientes,Jesus Maria,1,5,297,0.742,ALTO,12.2,2611.8,0.911,0.59,0.76
