1. Clave de identificación ,2. Nombre de la planta de tratamiento,3. País,4. Lugar,4a. Cuencas HydroSHEDS L3,5. Clave de identificación nacional de la planta de tratamiento,6. Clave HydroWASTE,7. Año de inicio de operaciones de la planta,8. Operador PTAR,8a. Tipo de operador,"9. Tamaño
[Campo Calculado]",10. Latitude,11. Longitude,12. Latitude de la descarga,13. Longitude de la descarga ,14.Capacidad de tratamiento en litros por segundo (L/s),14a.Capacidad de tratamiento máximo (L/s),15. Caudal de operación promedio (L/s),16. Año de caudal de operación promedio,"Capacidad diseño para clasificación (L/s)
[Campo calculado]","Caudal de operación promedio para análisis (L/s)
[Campo calculado]",17a. Categorías del Proceso de tratamiento  ,17b. Subcategorías del Proceso de tratamiento  ,"Campo de clasificación de procesos de tratamiento
(RML)",18. Detalles del proceso de tratamiento ,19. Estado,20. Destino del agua residual,20a. Categoría de destino,21. Se aprovecha el biogás?,22. Disposición de lodos o fangos resultado del tratamiento,23. Volumen de lodos o fangos (L/s),24. Volumen reutilizado,25. Destino o tipo de uso,27 Notas,28. Fuente de la información,29. Año de información ,30. Fecha de ingreso ,"Observaciones al registro: 
""<Tipo><Fecha> <Iniciales> <Comentario>"":
[INFO] 230725 JM Comentario",Indicador geoposición,Indicador gasto,tipo_regimen,Estado,Municipio
MEX-0010,Juárez Sur,México,"Juárez, Chihuahua",752 Río Bravo y cuencas centrales del norte de México,1004,ND,2000,Empresa Privada,,04 Megaplanta,31.642691,-106.33131,31.64153,-106.332,2000.0,2000.0,1650,2022,2000.0,1650.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - Convencional,01 En operación,"6. Suelo, infiltración",03 Terreno,03 Genera energía,"Relleno Sanitario (Municipal, Estatal, Intermunicipal E Interestatal)",ND,ND,"6. Suelo, infiltración",Adecuaciones: No. Destino del efluente: DISTRITO DE RIEGO BRAVO. Se aprovecha biogás (Ramírez 2022).,"ANEAS(2022), Ramírez(2022).",2022,20230417,[INFO] 230831 JM Información sobre plantas generadoras de electricidad Ramírez(2022).,Sí,Sí,Privado,Chihuahua,Juárez
MEX-0007,"Chihuahua ""Sur""",México,"Chihuahua, Chihuahua",752 Río Bravo y cuencas centrales del norte de México,2064,ND,2005,Organismo Operador,,04 Megaplanta,28.668848,-106.005517,28.67108,-106.005,2500.0,2500.0,1620,2022,2500.0,1620.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - Convencional,01 En operación,5. Ríos,01 Río o corriente,No,Relleno Sanitario Y Mejoramiento De Suelo,ND,ND,5. Ríos,"Adecuaciones: Sí, reequipamiento de toda la PTAR (2021). Destino del efluente: RIO SACRAMENTO.",ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Chihuahua,Chihuahua
MEX-0005,Cerro de la Estrella,México,"Iztapalapa, Ciudad De México",753 Golfo de México y vertiente Atlántico de América C.,231,ND,1972,Organismo Operador (Sacmex),,04 Megaplanta,19.337394,-99.078386,0,0,3000.0,3000.0,1525,2022,3000.0,1525.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,5. Ríos,01 Río o corriente,No,ND,ND,ND,5. Ríos,"Adecuaciones: 2020 rehabilitación. Destino del efluente: Canales de Xochimilco y Tláhuac, riego agrí",ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Ciudad De Mexico,Iztapalapa
MEX-0006,León (PTAR Municipal),México,"León, Guanajuato",771 Cuencas Vertiente Pacífico de México y América Central,1019,ND,2006,ND,,04 Megaplanta,21.085517,-101.726031,21.08347,-101.727,2500.0,2500.0,1525,2022,2500.0,1525.0,04 Biofiltros,04.4 Biofiltros y lodos activados,,Biofiltros - Biofiltros + lodos activados (dual),01 En operación,5. Ríos,01 Río o corriente,03 Genera energía,ND,ND,ND,5. Ríos,Producción de energía discontinua. Destino del efluente: Arroyo las Mulas / Río Turbio.,ANEAS(2022),2022,20230417,,Sí,Sí,,Guanajuato,León
MEX-0017,Juárez Norte,México,"Juárez, Chihuahua",752 Río Bravo y cuencas centrales del norte de México,1005,ND,2000,Empresa Privada,,04 Megaplanta,31.70772,-106.370899,31.70906,-106.371,1600.0,1600.0,1350,2022,1600.0,1350.0,01 Lodos activados,01.a Lodos activados aireación extendida,,Lodos Activados - Aireación Extendida,01 En operación,"6. Suelo, infiltración",03 Terreno,No,"Relleno Sanitario (Municipal, Estatal, Intermunicipal E Interestatal)",ND,ND,"6. Suelo, infiltración",Adecuaciones: No. Destino del efluente: DISTRITO DE RIEGO BRAVO.,ANEAS(2022),2022,20230417,,Sí,Sí,Privado,Chihuahua,Juárez
MEX-0031,Puebla San Francisco (PTAR 4),México,"Puebla, Puebla",771 Cuencas Vertiente Pacífico de México y América Central,1340,43388,2002,Concesionada,,04 Megaplanta,19.022036,-98.231955,19.02201,-98.2313,1100.0,1100.0,1292,2022,1100.0,1292.0,09 Primario avanzado,09 Primario avanzado,,Primario Avanzado - ,01 En operación,5. Ríos,01 Río o corriente,No,Ptar Atoyac Sur,ND,ND,5. Ríos,Adecuaciones: No. Destino del efluente: Río Atoyac.,ANEAS(2022),2022,20230417,[INFO] 231031 JM Clave HydroWASTE,Sí,Sí,Privado,Puebla,Puebla
MEX-0012,Torreón,México,"Torreón, Coahuila De Zaragoza",752 Río Bravo y cuencas centrales del norte de México,1517,ND,2003,ND,,04 Megaplanta,25.511983,-103.338345,25.51652,-103.343,1900.0,1900.0,1250,2022,1900.0,1250.0,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de estabilización,01 En operación,"6. Suelo, infiltración",03 Terreno,No,ND,ND,ND,"6. Suelo, infiltración",Destino del efluente: Suelo (Riego Agrícola).,ANEAS(2022),2022,20230417,,Sí,Sí,,Coahuila De Zaragoza,Torreón
MEX-0013,Noreste,México,"Apodaca, Nuevo León",752 Río Bravo y cuencas centrales del norte de México,548,ND,1995,Organismo Operador (Sadm),,04 Megaplanta,25.808818,-100.1667323,25.80961,-100.168,1875.0,1875.0,1221.413369,2022,1875.0,1221.413369,01 Lodos activados,01 Lodos activados,,Lodos Activados - Convencional,01 En operación,5. Ríos,01 Río o corriente,No,Relleno Dn,ND,ND,5. Ríos,Adecuaciones: Ampliacion año 2010. Destino del efluente: Arroyo Topochico.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Nuevo Leon,Apodaca
MEX-0016,Planta Norte (Playa Norte),México,"Veracruz, Veracruz De Ignacio De La Llave",753 Golfo de México y vertiente Atlántico de América C.,959,ND,2011,"Grupo Mas, Organismo Operador",,04 Megaplanta,19.211755,-96.156899,19.21275,-96.1573,1600.0,1600.0,1200,2022,1600.0,1200.0,04 Biofiltros,04.4 Biofiltros y lodos activados,,Biofiltros - Biofiltros + lodos activados (dual),01 En operación,5. Ríos,01 Río o corriente,No,ND,ND,ND,5. Ríos,Destino del efluente: Arroyo El Cable/al mar.,ANEAS(2022),2022,20230417,,Sí,Sí,Privado,Veracruz De Ignacio De La Llave,Veracruz
MEX-0036,Los Mochis,México,"Ahome, Sinaloa",771 Cuencas Vertiente Pacífico de México y América Central,2136,ND,2005,ND,,03 Grande,25.723372,-109.079797,ND,ND,920.0,920.0,1112,2022,920.0,1112.0,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de estabilización,01 En operación,"6. Suelo, infiltración",03 Terreno,No,,,ND,"6. Suelo, infiltración",Destino del efluente: Dren Telapa (100% agua tratada con reúso indirecto ambiental).,ANEAS(2022),2022,20230417,,Sí,Sí,,Sinaloa,Ahome
MEX-0018,Tierra Negra,México,"Ciudad Madero, Tamaulipas",753 Golfo de México y vertiente Atlántico de América C.,3194,ND,2011,ND,,04 Megaplanta,22.324406,-97.846323,22.32167,-97.8457,1500.0,1500.0,1100,2022,1500.0,1100.0,01 Lodos activados,01.a Lodos activados aireación extendida,,Lodos Activados - Aireación extendida con remoción de nutrientes,01 En operación,3.Aguas costeras,04 Mar,No,ND,ND,ND,3.Aguas costeras,"Destino del efluente: Marismas de Tierra Negra, en Ciudad Madero.",ANEAS(2022),2022,20230417,,Sí,Sí,,Tamaulipas,Ciudad Madero
MEX-0030,Planta Internacional de Tratamiento de Aguas Residuales (PITAR),México,"Tijuana, Baja California",774 Cuencas de California y Baja California,104,ND,1996,Cila Usa,,04 Megaplanta,32.541969,-117.061033,32.54309,-117.059,1100.0,1100.0,1086.2,2022,1100.0,1086.2,01 Lodos activados,01 Lodos activados,,Lodos Activados - Convencional,01 En operación,7. Otro país,06 Otro país,ND,ND,ND,ND,7. Otro país,Destino del efluente: Océano Pacífico.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Baja California,Tijuana
MEX-0028,SEAPAL Norte II,México,"Puerto Vallarta, Jalisco",771 Cuencas Vertiente Pacífico de México y América Central,377,ND,1995,Organismo Operador,,04 Megaplanta,20.70775861,-105.2357526,20.7078,-105.237,1125.0,1125.0,1084,2022,1125.0,1084.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,5. Ríos,01 Río o corriente,No,ND,ND,ND,5. Ríos,Destino del efluente: Río Ameca/Bahía de Banderas.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Jalisco,Puerto Vallarta
MEX-0023,Macroplanta Toluca Norte,México,"Toluca, México",771 Cuencas Vertiente Pacífico de México y América Central,445,ND,1994,Organismo Estatal (Caem),,04 Megaplanta,19.378713,-99.57844,19.38025,-99.5805,1250.0,1250.0,1050,2022,1250.0,1050.0,04 Biofiltros,04.4 Biofiltros y lodos activados,,Biofiltros - Biofiltros + lodos activados (dual),01 En operación,5. Ríos,01 Río o corriente,No,Zona Aledaña A La Planta,ND,ND,5. Ríos,"Destino del efluente: Río Verdiguel
.",ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Mexico,Toluca
MEX-0026,Atapaneo Morelia,México,"Morelia, Michoacán De Ocampo",771 Cuencas Vertiente Pacífico de México y América Central,2568,ND,2007,Organismo Operador,,04 Megaplanta,19.73827517,-101.1052983,19.73941,-101.108,1200.0,1200.0,1050,2022,1200.0,1050.0,01 Lodos activados,01.a Lodos activados aireación extendida,,Lodos Activados - Aireación Extendida,01 En operación,4. Embalses,02 Cuerpo de agua,No,Relleno Sanitario,ND,ND,4. Embalses,Adecuaciones: Ninguna. Destino del efluente: Lago de Cuitzeo.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Michoacan De Ocampo,Morelia
MEX-0032,Tanque Tenorio,México,"San Luis Potosí, San Luis Potosí",753 Golfo de México y vertiente Atlántico de América C.,2161,ND,2006,Cea (Concesión),,04 Megaplanta,22.122738,-100.878508,22.12344,-100.88,1050.0,1050.0,1050,2022,1050.0,1050.0,09 Primario avanzado,09.4 Primario avanzado y lodos activados,,Primario Avanzado - Primario avanzado+lodos activados convencional+terciario,01 En operación,8. Reúso,05 Reúso directo,02 Gasómetro,Relleno,ND,ND,8. Reúso,Destino del efluente: Torres de enfriamiento CFE/riego agrícola (Parque Tangamanga 1).,ANEAS(2022),2022,20230417,,Sí,Sí,Privado,San Luis Potosi,San Luis Potosí
MEX-0038,Las Arenitas,México,"Mexicali, Baja California",772 Río Colorado,2455,ND,2006,Organismo Operador,,03 Grande,32.418589,-115.321806,32.43257,-115.317,840.0,840.0,1026,2022,840.0,1026.0,02 Lagunas,02 Lagunas,,Lagunas - Lagunas Aireadas,01 En operación,5. Ríos,01 Río o corriente,No,,,ND,5. Ríos,Destino del efluente: Dren agrícola.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Baja California,Mexicali
MEX-0021,Zaragoza,México,"Mexicali, Baja California",772 Río Colorado,99,ND,1979,Organismo Operador,,04 Megaplanta,32.60835216,-115.545037,32.60644,-115.552,1300.0,1300.0,958,2022,1300.0,958.0,02 Lagunas,02 Lagunas,,Lagunas - Lagunas Aireadas,01 En operación,5. Ríos,01 Río o corriente,No,ND,ND,ND,5. Ríos,Destino del efluente: Dren internacional-Río Nuevo.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Baja California,Mexicali
MEX-0025,Principal,México,"Ramos Arizpe, Coahuila De Zaragoza",752 Río Bravo y cuencas centrales del norte de México,2833,ND,2008,App,,04 Megaplanta,25.514136,-100.966545,25.51463,-100.969,1200.0,1200.0,869,2022,1200.0,869.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - Convencional,01 En operación,5. Ríos,01 Río o corriente,03 Genera energía,ND,ND,ND,5. Ríos,Destino del efluente: Arroyo Los Cárdenas.,ANEAS(2022),2022,20230417,,Sí,Sí,Privado,Coahuila De Zaragoza,Ramos Arizpe
MEX-0024,Colima - Villa de Álvarez,México,"Colima, Colima",771 Cuencas Vertiente Pacífico de México y América Central,2576,ND,2007,ND,,04 Megaplanta,19.200361,-103.76589,19.20162,-103.767,1200.0,1200.0,850,2022,1200.0,850.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,5. Ríos,01 Río o corriente,02 Gasómetro,ND,ND,ND,5. Ríos,Destino del efluente: Río Colima.,ANEAS(2022),2022,20230417,,Sí,Sí,,Colima,Colima
MEX-0035,PTAR 1,México,"Reynosa, Tamaulipas",752 Río Bravo y cuencas centrales del norte de México,2927,ND,1970,ND,,04 Megaplanta,26.069766,-98.253142,26.06375,-98.2479,1000.0,1000.0,812.6,2022,1000.0,812.6,01 Lodos activados,01 Lodos activados,,Lodos Activados - Convencional + remoción de nutrientes,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,"Adecuaciones: 2018 reconvertida a lodos activados. Destino del efluente: Dren El Anhelo, AFLUENTE DE",ANEAS(2022),2022,20230417,,Sí,Sí,,Tamaulipas,Reynosa
MEX-0034,Macroplanta Toluca Oriente,México,"Toluca, México",771 Cuencas Vertiente Pacífico de México y América Central,446,ND,1994,Organismo Estatal (Caem),,04 Megaplanta,19.344151,-99.533642,19.34249,-99.5334,1000.0,1000.0,800,2022,1000.0,800.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - Convencional,01 En operación,5. Ríos,01 Río o corriente,No,Zona Aledaña A La Planta,ND,ND,5. Ríos,Destino del efluente: Canal Totoltepec.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Mexico,Toluca
MEX-0040,El Punto,México,"Tepic, Nayarit",771 Cuencas Vertiente Pacífico de México y América Central,541,ND,1993,Organismo Operador,,03 Grande,21.55029,-104.896968,21.55154,-104.897,800.0,800.0,800,2022,800.0,800.0,04 Biofiltros,04 Biofiltros,,Biofiltros - Biofiltros y desinfección,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Adecuaciones: 2009 se instalan biofiltros. Destino del efluente: Río Mololoa.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Nayarit,Tepic
MEX-0050,Piedras Negras,México,"Piedras Negras, Coahuila De Zaragoza",752 Río Bravo y cuencas centrales del norte de México,1007,ND,2000,ND,,03 Grande,28.668435,-100.509015,28.66879,-100.503,720.0,720.0,789,2022,720.0,789.0,01 Lodos activados,01.b Lodos activados zanja de oxidación,,Lodos Activados - Zanjas de Oxidación,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,"Destino del efluente: Rio Bravo, Reúso Indirecto Industrial (CFE).",ANEAS(2022),2022,20230417,,Sí,Sí,,Coahuila De Zaragoza,Piedras Negras
MEX-0055,Puebla Alseseca,México,"Puebla, Puebla",771 Cuencas Vertiente Pacífico de México y América Central,1338,43386,2002,Concesionada,,03 Grande,18.954175,-98.190103,18.95451,-98.1884,700.0,700.0,758,2022,700.0,758.0,09 Primario avanzado,09 Primario avanzado,,Primario Avanzado - ,01 En operación,5. Ríos,01 Río o corriente,No,Sitio De Recepcion De Residuos De Manejo Especial,ND,ND,5. Ríos,Adecuaciones: No. Destino del efluente: Rio Alseseca.,ANEAS(2022),2022,20230417,[INFO] 231031 JM Clave HydroWASTE,Sí,Sí,Privado,Puebla,Puebla
MEX-0029,San Antonio de los Buenos,México,"Tijuana, Baja California",774 Cuencas de California y Baja California,105,ND,1987,Organismo Operador,,04 Megaplanta,32.47377409,-117.1129776,32.47258,-117.113,1100.0,1100.0,752.2,2022,1100.0,752.2,02 Lagunas,02 Lagunas,,Lagunas - Lagunas Aireadas,01 En operación,3.Aguas costeras,04 Mar,No,En Lagunas Y Después Dragado,ND,ND,3.Aguas costeras,Destino del efluente: Océano Pacífico.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Baja California,Tijuana
MEX-0022,FIRIOB,México,"Ixtaczoquitlán, Veracruz De Ignacio De La Llave",753 Golfo de México y vertiente Atlántico de América C.,916,ND,2004,ND,,04 Megaplanta,18.850926,-97.051243,18.8534,-97.0474,1250.0,1250.0,750,2022,1250.0,750.0,06 Reactor anaerobio de flujo ascendente (RAFA),06 Reactor anaerobio de flujo ascendente (RAFA),,RAFA - ,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: Río Escamela.,ANEAS(2022),2022,20230417,,Sí,Sí,,Veracruz De Ignacio De La Llave,Ixtaczoquitlán
MEX-0048,Xalapa I,México,"Xalapa, Veracruz De Ignacio De La Llave",753 Golfo de México y vertiente Atlántico de América C.,3062,ND,2009,ND,,03 Grande,19.517449,-96.839574,19.51615,-96.8392,750.0,750.0,740,2022,750.0,740.0,01 Lodos activados,01.a Lodos activados aireación extendida,,Lodos Activados - Aireación Extendida,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: Río Limpio.,ANEAS(2022),2022,20230417,,Sí,Sí,,Veracruz De Ignacio De La Llave,Xalapa
MEX-0019,PITAR Nuevo Laredo,México,"Nuevo Laredo, Tamaulipas",752 Río Bravo y cuencas centrales del norte de México,847,ND,1996,Cila México,,04 Megaplanta,27.41797,-99.496298,27.42038,-99.4941,1360.0,1360.0,738.13,2022,1360.0,738.13,01 Lodos activados,01.a Lodos activados aireación extendida,,Lodos Activados - Aireación Extendida,01 En operación,5. Ríos,01 Río o corriente,No,ND,ND,ND,5. Ríos,Destino del efluente: Arroyo el Coyote afluente del Río Bravo.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Tamaulipas,Nuevo Laredo
MEX-0033,Lago de Texcoco I,México,"Texcoco, México",753 Golfo de México y vertiente Atlántico de América C.,414,ND,1980,Conagua,,04 Megaplanta,19.455356,-98.994151,19.45224,-98.9948,1000.0,1000.0,700,2022,1000.0,700.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - Convencional,01 En operación,4. Embalses,02 Cuerpo de agua,ND,ND,ND,ND,4. Embalses,Destino del efluente: Lago Nabor Carrillo.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Mexico,Texcoco
MEX-0039,Tuxtla Gutiérrez (Paso Limón),México,"Tuxtla Gutiérrez, Chiapas",753 Golfo de México y vertiente Atlántico de América C.,186,ND,2006,ND,,03 Grande,16.761526,-93.082601,16.76331,-93.0821,800.0,800.0,700,2022,800.0,700.0,04 Biofiltros,04 Biofiltros,,Biofiltros - ,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: Río Sabinal.,ANEAS(2022),2022,20230417,,Sí,Sí,,Chiapas,Tuxtla Gutiérrez
MEX-0053,La Paz,México,"La Paz, Baja California Sur",774 Cuencas de California y Baja California,111,ND,2018,OOMSAPAS La Paz,,03 Grande,24.107826,-110.343045,24.10732,-110.348,700.0,700.0,700,2022,700.0,700.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,"6. Suelo, infiltración",03 Terreno,02 Gasómetro,ND,ND,ND,"6. Suelo, infiltración",Destino del efluente: Campos Agrícolas. Comentario sobre biogás: se quema en su totalidad (Martínez 2023b),"ANEAS(2022), Martínez(2023b)",2022,20230417,"RML230831: agregué que aprovechan el gas, aunque solo lo queman. Y la opera el OOMSAPAS La Paz",Sí,Sí,Publico,Baja California Sur,La Paz
